timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance,is_correct
1760862721.0817192,1,Pinky,Left,824,275,744,315,777,354,63.5,-59.5,87.02011261771614,0.079375,-0.09916666666666667,0.08702011261771614,1
1760862720.7844796,1,Pinky,Left,783,226,714,272,744,305,54.0,-62.5,82.59691277523633,0.0675,-0.10416666666666667,0.08259691277523633,1
1760862721.4765644,1,Pinky,Left,273,334,267,262,292,287,-6.5,59.5,59.85398900658168,-0.008125,0.09916666666666667,0.059853989006581676,1
1760862721.350101,1,Pinky,Left,394,377,423,338,443,375,-39.0,20.5,44.05961870012041,-0.04875,0.034166666666666665,0.04405961870012041,1
1760862721.2267137,1,Pinky,Left,734,345,716,337,746,376,3.0,-11.5,11.884864324004713,0.00375,-0.019166666666666665,0.011884864324004714,1
1760862721.1830835,1,Pinky,Left,279,286,215,276,249,305,47.0,-4.5,47.214934078107106,0.05875,-0.0075,0.047214934078107104,1
1760862721.2490222,1,Pinky,Left,797,261,745,233,783,256,33.0,16.5,36.89512162874653,0.04125,0.0275,0.03689512162874653,1
1760862720.6624925,1,Pinky,Left,570,324,543,308,572,342,12.5,-1.0,12.539936203984453,0.015625,-0.0016666666666666668,0.012539936203984454,1
1760862720.9206862,1,Pinky,Left,474,300,405,298,438,333,52.5,-15.5,54.740295943664755,0.065625,-0.025833333333333333,0.05474029594366475,1
1760862721.3469684,1,Pinky,Left,649,271,582,233,605,261,55.5,24.0,60.466933112239126,0.069375,0.04,0.06046693311223913,1
1760862721.3912961,1,Pinky,Left,280,261,291,303,313,333,-22.0,-57.0,61.09828148156051,-0.0275,-0.095,0.06109828148156051,1
1760862721.159263,1,Pinky,Left,734,358,697,282,725,317,23.0,58.5,62.8589691293136,0.02875,0.0975,0.0628589691293136,1
1760862721.0021071,1,Pinky,Left,351,318,359,345,391,372,-24.0,-40.5,47.077064479425644,-0.03,-0.0675,0.04707706447942565,1
1760862720.8774374,1,Pinky,Left,438,261,452,272,476,292,-26.0,-21.0,33.421549934136806,-0.0325,-0.035,0.033421549934136804,1
1760862720.9068196,1,Pinky,Left,481,329,478,317,514,356,-15.0,-7.5,16.77050983124842,-0.01875,-0.0125,0.01677050983124842,1
1760862720.9971683,1,Pinky,Left,427,354,357,358,386,384,55.5,-17.0,58.04524097632811,0.069375,-0.028333333333333332,0.05804524097632811,1
1760862721.0794952,1,Pinky,Left,557,234,510,262,545,283,29.5,-38.5,48.5025772511111,0.036875,-0.06416666666666666,0.048502577251111095,1
1760862721.0493565,1,Pinky,Left,253,403,226,382,258,411,11.0,6.5,12.776932339180638,0.01375,0.010833333333333334,0.012776932339180638,1
1760862720.697521,1,Pinky,Left,471,289,499,277,521,299,-39.0,1.0,39.01281840626232,-0.04875,0.0016666666666666668,0.03901281840626232,1
1760862720.7619534,1,Pinky,Left,474,327,479,289,517,323,-24.0,21.0,31.89043743820395,-0.03,0.035,0.03189043743820395,1
1760862721.2630358,1,Pinky,Left,443,338,395,362,426,384,32.5,-35.0,47.762432936357,0.040625,-0.058333333333333334,0.047762432936357,1
1760862721.3882346,1,Pinky,Left,776,224,774,252,794,284,-8.0,-44.0,44.721359549995796,-0.01,-0.07333333333333333,0.044721359549995794,1
1760862720.8361852,1,Pinky,Left,303,428,319,366,357,387,-35.0,51.5,62.26756780218736,-0.04375,0.08583333333333333,0.06226756780218736,1
1760862721.063514,1,Pinky,Left,512,352,465,331,494,363,32.5,5.0,32.882366094914765,0.040625,0.008333333333333333,0.03288236609491477,1
1760862721.6184366,1,Pinky,Left,623,325,583,364,608,384,27.5,-49.0,56.189411813970786,0.034375,-0.08166666666666667,0.05618941181397079,1
1760862720.938971,1,Pinky,Left,462,382,495,365,532,395,-51.5,2.0,51.53882032022076,-0.064375,0.0033333333333333335,0.05153882032022076,1
1760862721.4639902,1,Pinky,Left,836,336,794,293,832,328,23.0,25.5,34.34020966738555,0.02875,0.0425,0.03434020966738555,1
1760862720.9136853,1,Pinky,Left,605,360,644,308,682,335,-58.0,38.5,69.61501274868805,-0.0725,0.06416666666666666,0.06961501274868805,1
1760862721.0457041,1,Pinky,Left,262,402,218,376,257,404,24.5,12.0,27.28094573140748,0.030625,0.02,0.02728094573140748,1
1760862720.8170362,1,Pinky,Left,756,324,798,292,828,329,-57.0,13.5,58.57687256929991,-0.07125,0.0225,0.05857687256929991,1
1760862721.438243,1,Pinky,Left,742,350,775,340,807,363,-49.0,-1.5,49.02295380737476,-0.06125,-0.0025,0.049022953807374765,1
1760862720.9937806,1,Pinky,Left,448,342,428,272,461,300,3.5,56.0,56.10926839658489,0.004375,0.09333333333333334,0.05610926839658489,1
1760862721.2997212,1,Pinky,Left,311,285,248,292,284,326,45.0,-24.0,51.0,0.05625,-0.04,0.051,1
1760862721.532898,1,Pinky,Left,734,251,678,214,711,241,39.5,23.5,45.96194077712559,0.049375,0.03916666666666667,0.04596194077712559,1
1760862721.2965238,1,Pinky,Left,568,328,585,375,623,412,-36.0,-65.5,74.74122022017035,-0.045,-0.10916666666666666,0.07474122022017035,1
1760862721.0779214,1,Pinky,Left,260,206,266,215,305,237,-25.5,-20.0,32.407560846197605,-0.031875,-0.03333333333333333,0.03240756084619761,1
1760862720.6980479,1,Pinky,Left,829,205,743,207,780,237,67.5,-17.0,69.60783001933044,0.084375,-0.028333333333333332,0.06960783001933044,1
1760862721.3024485,1,Pinky,Left,362,423,403,348,441,375,-60.0,61.5,85.92002094971812,-0.075,0.1025,0.08592002094971812,1
1760862721.376673,1,Pinky,Left,357,369,362,395,382,417,-15.0,-37.0,39.92492955535426,-0.01875,-0.06166666666666667,0.03992492955535426,1
1760862720.7928455,1,Pinky,Left,613,276,576,289,599,310,25.5,-23.5,34.677081768799404,0.031875,-0.03916666666666667,0.034677081768799405,1
1760862721.4122708,1,Pinky,Left,377,218,405,249,443,278,-47.0,-45.5,65.41597664179601,-0.05875,-0.07583333333333334,0.065415976641796,1
1760862720.8777165,1,Pinky,Left,520,213,559,255,587,293,-53.0,-61.0,80.8084154033477,-0.06625,-0.10166666666666667,0.0808084154033477,1
1760862721.5530477,1,Pinky,Left,339,333,289,314,316,343,36.5,4.5,36.776351096866584,0.045625,0.0075,0.03677635109686658,1
1760862721.272662,1,Pinky,Left,283,220,213,242,247,277,53.0,-39.5,66.10030257116831,0.06625,-0.06583333333333333,0.0661003025711683,1
1760862721.4349704,1,Pinky,Left,437,447,433,372,459,409,-9.0,56.5,57.21232384722718,-0.01125,0.09416666666666666,0.05721232384722718,1
1760862720.9005392,1,Pinky,Left,308,429,305,382,339,414,-14.0,31.0,34.0147027033899,-0.0175,0.051666666666666666,0.0340147027033899,1
1760862721.4255188,1,Pinky,Left,561,204,521,247,547,272,27.0,-55.5,61.71912183432295,0.03375,-0.0925,0.061719121834322946,1
1760862721.1213944,1,Pinky,Left,169,346,206,376,241,406,-54.5,-45.0,70.67708256570867,-0.068125,-0.075,0.07067708256570868,1
