Frame,Key_Label,Key_Center_X,Key_Center_Y,Finger_ID,Finger_X,Finger_Y,Finger_Z,Distance_To_Key,Finger_Velocity,Wrist_Angle,Hand_Side,Overlap_Ratio,Press_Duration,Correct_Label
1,H,0.568146175166654,0.8608645973768869,Left_Pinky,0.5338924036792411,0.8687988914252932,7.580939788996016e-05,0.03516076833949006,0.050433573499507625,22.133669887665178,Left,0.6483923166050993,0.18714932465638323,0
2,D,0.4446074582917435,0.7714114248925026,Right_Middle,0.41288252234331707,0.7857674601962608,-0.01231887818586249,0.03693673063946818,0.05241549297863658,15.742120423513109,Right,0.6306326936053182,0.1788284694471332,0
3,F,0.6980983564327234,0.500778624512298,Left_Pinky,0.7218471435916747,0.5216680416624793,0.0027654521099277143,0.03174933646184997,0.03400505387572336,21.884176986162966,Left,0.6825066353815004,0.18705611510705583,0
4,Y,0.739028198330487,0.9134513836357434,Right_Ring,0.7445391798852772,0.9136158425027939,-0.03389454814937817,0.034340040166934926,0.02081432341551278,21.524942281442335,Right,0.6565995983306507,0.21668605852771045,1
5,L,0.45851874522758346,0.6840783518740345,Left_Pinky,0.4703077789206917,0.656792281526991,-0.01567117010342433,0.03360203152804175,0.03399381433750051,22.77288318115252,Left,0.6639796847195825,0.1574984491514031,1
6,J,0.6648964511500287,0.7288549399193184,Left_Ring,0.6584330527054129,0.759477051747089,-0.011640167215803174,0.03339135734075828,0.021774126692146786,16.590967242299065,Left,0.6660864265924172,0.13832762442018087,0
7,D,0.5810778709111375,0.7135140880467501,Left_Pinky,0.6104772500632952,0.7061449954247765,-0.005805021358972415,0.030859768203628467,0.056678616429139586,21.111464633498173,Left,0.6914023179637153,0.2095589954896755,1
8,D,0.6475705685700155,0.8365200262134973,Right_Ring,0.6103805523775068,0.8590685516554372,-0.013851615397271998,0.045644282808680575,0.03572451836606255,17.16484402853628,Right,0.5435571719131942,0.20036661096732436,0
9,J,0.5169579530733994,0.7038138230708628,Right_Ring,0.5189454634595085,0.7069503899352044,-0.02491896268854852,0.025194105475341858,0.04720345384798223,17.078595173614865,Right,0.7480589452465815,0.18716485646760708,0
10,F,0.7016952339961037,0.8065060416786388,Right_Ring,0.696698026118532,0.8352895586411497,-0.03381650143416029,0.044688015222757234,0.03802133576294073,20.18217054826041,Right,0.5531198477724277,0.15998716202269853,0
11,D,0.11703476245844252,0.587181164993588,Right_Middle,0.11375165344787322,0.5830967947462025,-0.016047611023734178,0.016881549237616908,0.028774761159480897,15.527262398277742,Right,0.8311845076238309,0.15178162557398137,1
12,Y,0.5387508063833815,0.6967072475967143,Left_Index,0.5614892135892632,0.6746299016134192,-0.041551701464594054,0.05225885822068216,0.03890381638666493,17.575221333335154,Left,0.4774114177931784,0.21082245153222184,0
13,H,0.6164216367583669,0.8434233031194223,Right_Middle,0.5986906509387295,0.878763334918843,0.013237886114242467,0.0416958910984512,0.03711416091387683,22.721670288348008,Right,0.583041089015488,0.15335694263484095,1
14,D,0.3937257126597958,0.8371476384502322,Left_Middle,0.37422534853391576,0.862994319735472,0.03251447983111809,0.04588579881827121,0.0548034596478128,15.501379063714138,Left,0.5411420118172878,0.1930876417460598,1
15,H,0.8090103973559089,0.7984342027582422,Left_Index,0.7995777632310792,0.8413413513974101,-0.0030765435230240695,0.04403933595009817,0.05717685222351715,24.775829342255648,Left,0.5596066404990183,0.14965321462402414,1
16,A,0.6840324447492275,0.7584839929120659,Left_Index,0.708975652743291,0.7515414018484373,0.015618758218343728,0.030237539648505913,0.04701835424040297,18.26204458110892,Left,0.6976246035149409,0.17252803226102953,1
17,I,0.5786977565497511,0.6774237667698022,Right_Pinky,0.57810169920452,0.6905252217001758,0.021122963529154187,0.024863286064102492,0.043065262723979286,19.81553972650193,Right,0.7513671393589751,0.17462174096610322,0
18,Y,0.4668440450687084,0.7779246394505072,Right_Pinky,0.43477628702889576,0.7870029191004755,-0.022342209052200825,0.04012394014095877,0.045677634057134694,18.99233414941408,Right,0.5987605985904123,0.1780599609301206,1
19,U,0.29215487421752967,0.7693512862338799,Right_Pinky,0.28414520694510553,0.7554925359974201,0.0057088118050576675,0.016994418500115998,0.03803904985661084,22.593544396996908,Right,0.83005581499884,0.13083828490411453,1
20,S,0.39992890880629817,0.7565108726437557,Right_Pinky,0.40877479216090107,0.7407837103514154,-0.04865378839895771,0.051892045745599615,0.039154940200879715,17.66645977927929,Right,0.48107954254400387,0.21249528106204837,0
21,F,0.6984111058563958,0.6301104888729698,Left_Pinky,0.6834460425563091,0.6300032882028517,-0.0003945603402419756,0.014970647595256698,0.04558784526232963,22.240366387663613,Left,0.850293524047433,0.2093473994910512,1
22,Space,0.5400764449624214,0.5995774178383336,Right_Pinky,0.5566359564137152,0.6066235794875056,0.02606869834610874,0.031677166018319984,0.05892323187521496,16.081600932392707,Right,0.6832283398168002,0.18432571334538017,0
23,P,0.5956756902267439,0.8596828017175342,Right_Pinky,0.5757535500530644,0.8784816172502038,0.048487243033808136,0.05568931559599787,0.045175504200123257,15.707908303175172,Right,0.4431068440400213,0.13375515047773467,0
24,F,0.6800371881539784,0.7568245736792943,Right_Index,0.6687364784108752,0.7806069669527336,-0.04072328634988575,0.04849427101880371,0.04223793766932181,16.494752931583765,Right,0.515057289811963,0.15049462348774673,0
25,Space,0.4822250875353512,0.8051819138255958,Right_Ring,0.45261217663764175,0.8133813470862619,0.03402971460177097,0.04584950025365359,0.049326412997039874,17.165375723424912,Right,0.541504997463464,0.21362509644765726,0
26,E,0.5746213049127583,0.7203171958053551,Left_Index,0.572096192577021,0.738881946394051,-0.023272697385727972,0.029877158505056105,0.041190603995113775,19.072091439533846,Left,0.701228414949439,0.1373995940873442,0
27,S,0.35272742545564917,0.8959792403994062,Left_Middle,0.3275021471392204,0.9137582229438329,0.010256563551247488,0.032520823826236306,0.045130570025199816,21.7577574135552,Left,0.6747917617376369,0.2102321545245569,0
28,G,0.4788710625251392,0.8765199184905045,Right_Ring,0.471598494644011,0.8506651774757279,-0.0017393658442637627,0.026914369211760842,0.043822014920332004,23.496514574860903,Right,0.7308563078823915,0.13642817718623707,0
29,O,0.2278413456991486,0.6233912980370763,Left_Index,0.2307999073720628,0.6502477822181958,0.02049854167869901,0.03391480562669526,0.04310780604345452,19.795543705057362,Left,0.6608519437330475,0.1402538152869249,0
30,Space,0.39807993111439144,0.7871162124294384,Right_Pinky,0.403201685610208,0.8006819004456788,-0.00907584678901354,0.01710646823301152,0.05422889949395415,24.707356655858984,Right,0.8289353176698848,0.1753521145510922,1
31,O,0.6355648041102895,0.6632128688546005,Right_Thumb,0.6365201677036058,0.6073305742810592,0.021762116650197533,0.05997777327890962,0.035691900882301966,23.96566313571731,Right,0.4002222672109038,0.19682282351237457,0
32,G,0.34593362056132737,0.9169086637107995,Right_Ring,0.331031688586907,0.8894806027807438,-0.011505762153547504,0.03326783229618522,0.02430324604815931,17.92526694032393,Right,0.6673216770381478,0.20553460911983662,0
33,S,0.406039511004137,0.962118348460394,Right_Ring,0.4102933505597049,1.0,0.014055054104033418,0.04062830565258602,0.0404718387852022,23.962836179295664,Right,0.5937169434741398,0.18028664503463426,1
