timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance,is_correct,expected_finger,expected_hand
1760862721.482902,G,Index,Left,302,200,319,203,348,242,-31.5,-22.5,38.71046370169182,-1.0862068965517242,-0.5769230769230769,0.7965048543889729,1,Index,Left
1760862721.221371,1,Ring,Right,515,315,512,312,548,346,-15.0,-14.0,20.5182845286832,-0.4166666666666667,-0.4117647058823529,0.4143628533364477,0,Pinky,Left
1760862720.7414174,U,Index,Right,585,378,532,376,556,405,41.0,-12.5,42.86315434029558,1.7083333333333333,-0.4310344827586206,1.1386734720432694,1,Index,Right
1760862721.3661027,9,Ring,Right,287,317,334,296,365,320,-62.5,9.0,63.144675151591365,-2.0161290322580645,0.375,1.6106448919981442,1,Ring,Right
1760862720.768736,V,Thumb,Right,418,234,413,205,439,233,-8.0,15.0,17.0,-0.3076923076923077,0.5357142857142857,0.4449103342016817,0,Index,Left
1760862721.2539873,],Index,Left,717,418,728,381,753,417,-23.5,19.0,30.220026472523152,-0.94,0.5277777777777778,0.689495058510623,0,Unknown,Unknown
1760862721.4546514,4,Index,Left,605,386,518,382,556,412,68.0,-11.0,68.8839603971781,1.7894736842105263,-0.3666666666666666,1.422785087827162,1,Index,Left
1760862721.3684795,D,Middle,Left,760,367,782,323,820,360,-41.0,25.5,48.28301978956991,-1.0789473684210529,0.6891891891891891,0.9103524356294782,1,Middle,Left
1760862721.1883535,K,Pinky,Right,334,341,331,292,363,318,-13.0,36.0,38.27531841800928,-0.40625,1.3846153846153846,0.9283128275976548,0,Middle,Right
1760862721.0777774,Space,Index,Left,671,307,670,267,708,300,-18.0,23.5,29.60152023123137,-0.4736842105263157,0.7121212121212122,0.5881612665618302,0,Thumb,Right
1760862721.4878895,I,Middle,Right,413,314,463,340,487,379,-62.0,-45.5,76.9041611357929,-2.583333333333333,-1.1666666666666667,1.67938636975601,1,Middle,Right
1760862720.7116342,/,Pinky,Right,751,410,793,340,819,377,-55.0,51.5,75.34752816118124,-2.1153846153846154,1.391891891891892,1.6661816735257755,1,Pinky,Right
1760862721.628448,L,Ring,Right,619,203,620,239,647,276,-14.5,-54.5,56.39592183837409,-0.5370370370370371,-1.472972972972973,1.2312463556003803,1,Ring,Right
1760862721.5107682,Shift_R,Thumb,Right,734,256,661,256,688,290,59.5,-17.0,61.88093405888441,2.203703703703704,-0.5,1.425283256318794,0,Unknown,Unknown
1760862721.6006074,Ctrl_L,Index,Left,300,346,307,376,332,407,-19.5,-45.5,49.502525188115406,-0.78,-1.467741935483871,1.2430132610769342,0,Unknown,Unknown
1760862720.6977797,G,Thumb,Right,485,291,476,270,496,301,-1.0,5.5,5.5901699437494745,-0.05,0.1774193548387097,0.1515290666689224,0,Index,Left
1760862720.8385715,6,Ring,Left,844,387,764,327,801,360,61.5,43.5,75.32927717693832,1.662162162162162,1.318181818181818,1.519402584836813,0,Index,Right
1760862720.647097,H,Index,Right,706,398,741,357,768,391,-48.5,24.0,54.11330705103875,-1.7962962962962965,0.7058823529411765,1.2463740513433634,1,Index,Right
1760862721.6201713,X,Ring,Left,811,369,755,397,790,419,38.5,-39.0,54.801916024898254,1.1,-1.7727272727272727,1.3256372878134606,1,Ring,Left
1760862720.6991856,0,Pinky,Right,775,419,759,365,783,401,4.0,36.0,36.22154055254967,0.1666666666666666,1.0,0.8371706521699748,1,Pinky,Right
1760862721.428423,U,Index,Right,706,293,690,242,715,273,3.5,35.5,35.67211796347394,0.14,1.1451612903225807,0.8957303796280723,1,Index,Right
1760862721.5100036,E,Middle,Left,565,270,557,311,579,349,-3.0,-60.0,60.07495318350236,-0.1363636363636363,-1.5789473684210529,1.3681695680013422,1,Middle,Left
1760862720.752493,W,Index,Left,673,325,709,290,745,318,-54.0,21.0,57.9396237474839,-1.5,0.75,1.2704102910840689,0,Ring,Left
